-0.0522696939|-4.8255659286|-8.7746235826|-8.5394668911|2.5075969777|-11.1209067063|-4.1050069256|-11.2172344586|-1.6408974554|-5.6401019396|138.3526436366
-6.2880197557|-7.0241946335|-25.6702901996|0.4962725337|4.4893195650|3.6446077959|-27.1001696021|-9.4719844602|-18.4043999819|-0.6055023203|136.9587714505
-17.9582887854|18.5304972721|-9.6891517601|-26.1696079618|-21.4623787908|-1.0312825913|12.2357961075|-6.9068490501|11.5814025381|-13.4501430227|259.9507769183
5.2539002637|1.2860241461|-1.0530339052|4.5173628043|9.1435481758|3.0067861561|-3.1825103960|12.3406950036|-3.7084174564|-15.6656690730|-30.8121676056
0.8047835838|11.0266398562|-18.5295154253|10.1072506492|-4.7813191451|21.8045618661|1.1591128518|9.5054785596|3.2699065935|-0.5392171420|280.3779557505
2.5270917387|-13.0534861223|-3.1300253177|0.4022070030|12.7506351798|4.8763744310|-32.5917323030|0.9102388966|-5.0287182749|-8.5661462330|-336.5498831801
-11.4026602055|-0.0537608386|-8.7693054322|-1.5242413906|-4.8857760127|-13.4185170184|1.1988503859|-14.8168555314|-0.3569782585|-0.7627652443|260.2339421970
18.4094422438|-4.3152281492|-16.0101102205|11.9465920382|-5.0824273173|-14.2260209343|-3.0593580803|18.3487224961|-14.6630765913|-2.5503160213|251.7746569285
10.9104644985|12.2110376311|10.0291293699|4.8586851644|-17.2984108696|7.2354915763|-9.6001084562|-0.8668660439|6.5355835090|1.8155887229|-118.4029994517
-0.6089592477|4.1369691953|-14.9423351684|-16.5126641739|-10.9459232458|-1.7762678321|-5.8472035571|-6.2535275655|3.1424659700|-9.0708069433|170.5965817971
